"","room_id","host_id","room_type","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","price","latitude","longitude"
"1",12071820,64682226,"Shared room","Jamaica Plain",7,4.5,2,1,75,42.30688,"-71.112318"
"2",5447285,28254412,"Shared room","Brighton",2,0,2,1,44,42.34028,"-71.143274"
"3",10567830,1651480,"Shared room","South End",0,0,1,1,500,42.341763,"-71.075397"
"4",8404805,26956083,"Shared room","Brighton",0,0,1,1,225,42.360686,"-71.141508"
"5",14821064,21938320,"Shared room","Back Bay",2,0,1,1,200,42.351066,"-71.080316"
"6",8828147,3958442,"Shared room","South Boston",4,5,1,1,159,42.341526,"-71.055594"
"7",14574734,88360952,"Shared room","Downtown",8,5,2,1,175,42.350446,"-71.064919"
"8",14235257,83636316,"Shared room","Longwood Medical Area",0,0,2,1,100,42.34262,"-71.103627"
"9",15774455,102018097,"Shared room","Chinatown",2,0,1,1,104,42.352437,"-71.061469"
"10",8696200,19470226,"Shared room","Downtown",12,5,2,1,103,42.366695,"-71.066336"
"11",3792147,6989109,"Shared room","South Boston",58,4.5,1,1,111,42.331261,"-71.046148"
"12",8770168,45980822,"Shared room","Back Bay",2,0,1,1,100,42.352347,"-71.084603"
"13",11948017,1426567,"Shared room","Roxbury",0,0,2,1,99,42.297116,"-71.092483"
"14",15438743,31620925,"Shared room","Mission Hill",2,0,1,1,99,42.333947,"-71.103113"
"15",9094905,4550056,"Shared room","Beacon Hill",21,5,2,1,85,42.360871,"-71.065136"
"16",5047340,10250028,"Shared room","Allston",12,5,4,1,99,42.359427,"-71.133423"
"17",8662258,26268405,"Shared room","Beacon Hill",89,5,2,1,89,42.358505,"-71.064052"
"18",3678429,18165984,"Shared room","Dorchester",8,5,1,1,80,42.284938,"-71.076511"
"19",11043756,35423230,"Shared room","Allston",1,0,1,1,68,42.355342,"-71.138265"
"20",12409126,462239,"Shared room","Roxbury",0,0,2,1,65,42.328927,"-71.08618"
"21",15052939,95139475,"Shared room","East Boston",0,0,1,1,70,42.382627,"-71.0201"
"22",15343566,16959054,"Shared room","East Boston",3,4.5,2,1,70,42.371454,"-71.032949"
"23",5976821,432317,"Shared room","South End",80,5,2,1,80,42.344125,"-71.070483"
