room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
10567830,1429,1651480,Shared room,,Boston,,South End,0,0,1,1,,500,,zParkingSpaceForConfirmedGuestsOnly,46:02.6,42.341763,-71.075397,0101000020E6100000DB4DF04DD3C451C0CEFDD5E3BE2B4540
8404805,1429,26956083,Shared room,,Boston,,Brighton,0,0,1,1,,225,,The Private Parking Space!,46:01.0,42.360686,-71.141508,0101000020E6100000D50792770EC951C0021077F52A2E4540
18356892,1429,127064903,Shared room,,Boston,,Roxbury,0,0,2,1,,150,,Cozy room,45:58.4,42.337483,-71.079116,0101000020E6100000C8258E3C10C551C05DFA97A4322B4540
5976821,1429,432317,Shared room,,Boston,,South End,106,5,3,1,,125,,Heart of the South End Near It All!,45:56.7,42.344125,-71.070483,0101000020E610000022FB20CB82C451C0355EBA490C2C4540
14821064,1429,21938320,Shared room,,Boston,,Back Bay,2,0,1,1,,105,,1 BR in the center of Newbury Street,45:55.2,42.351066,-71.080316,0101000020E61000001D56B8E523C551C0685E0EBBEF2C4540
8696200,1429,19470226,Shared room,,Boston,,Downtown,12,5,2,1,,103,,Downtown Boston Condo Living Room,45:55.2,42.366695,-71.066336,0101000020E61000000AA359D93EC451C0A94D9CDCEF2E4540
19625080,1429,76727796,Shared room,,Boston,,Allston,0,0,2,1,,80,,Sunny Apartment,45:53.3,42.34827,-71.133825,0101000020E6100000C898BB9690C851C0C616821C942C4540
5990896,1429,31035017,Shared room,,Boston,,Fenway,56,4.5,1,1,,85,,"Studio, 2 min walk Symphony/T Hynes",45:53.3,42.342757,-71.090121,0101000020E6100000B3EBDE8AC4C551C0CFBC1C76DF2B4540
13711242,1429,40459423,Shared room,,Boston,,Downtown,9,5,2,1,,90,,"Located in ""the heart of the city",45:53.3,42.351019,-71.064549,0101000020E610000054FF209221C451C027A3CA30EE2C4540
3792147,1429,6989109,Shared room,,Boston,,South Boston,72,4.5,1,1,,83,,Oceanview Penthouse Condo-Cool/Cozy/Amazing Views!,45:53.3,42.331261,-71.046148,0101000020E6100000A7B1BD16F4C251C05AB8ACC2662A4540
12071820,1429,64682226,Shared room,,Boston,,Jamaica Plain,8,4.5,2,1,,75,,Super Cozy Apt - An Artist's Home,45:51.6,42.30688,-71.112318,0101000020E61000002330D63730C751C0F3E505D847274540
15052939,1429,95139475,Shared room,,Boston,,East Boston,0,0,1,1,,70,,Cosy couch available 5 min away from Airport,45:51.6,42.382627,-71.0201,0101000020E610000093A9825149C151C086C8E9EBF9304540
3678429,1429,18165984,Shared room,,Boston,,Dorchester,8,5,1,1,,80,,Immaculate Home away from home,45:51.6,42.284938,-71.076511,0101000020E610000031B2648EE5C451C09EB12FD978244540
19593617,1429,127402910,Shared room,,Boston,,South Boston,0,0,1,1,,74,,South Boston near Convention Center and Seaport,45:51.5,42.334954,-71.035627,0101000020E6100000B2F677B647C251C00BD5CDC5DF2A4540
9949819,1429,31021638,Shared room,,Boston,,South End,2,0,2,1,,77,,South End Near Backbay Garden Apt,45:50.3,42.346509,-71.073372,0101000020E61000004C1C7920B2C451C084622B685A2C4540
19727919,1429,139072570,Shared room,,Boston,,East Boston,0,0,1,1,,78,,Shelly's Place,45:50.3,42.380875,-71.023837,0101000020E6100000D3DB9F8B86C151C0986E1283C0304540
19593720,1429,45303417,Shared room,,Boston,,Allston,0,0,2,1,,70,,House of Westford,45:50.3,42.36306,-71.134001,0101000020E61000006728EE7893C851C02D3E05C0782E4540
18968002,1429,34876974,Shared room,,Boston,,Fenway,3,3.5,2,1,,75,,Summer Rent @ Boston,45:50.3,42.345438,-71.105621,0101000020E61000005531957EC2C651C0D865F84F372C4540
6930501,1429,30128383,Shared room,,Boston,,Roxbury,12,5,2,1,,71,,Loft with Balcony in South End,45:50.3,42.33655,-71.086097,0101000020E610000028D2FD9C82C551C002BC0512142B4540
19490615,1429,80585336,Shared room,,Boston,,Jamaica Plain,0,0,1,1,,75,,One bedroom,45:50.3,42.317082,-71.101399,0101000020E610000037363B527DC651C03C139A2496284540
19746860,1429,120404049,Shared room,,Boston,,Roxbury,0,0,1,1,,65,,Bedroom in The Bean,45:50.3,42.328383,-71.087248,0101000020E61000000DA9A27895C551C0FCC74274082A4540
6489209,1429,26098645,Shared room,,Boston,,South Boston,25,5,2,1,,75,,"Large room, excellent access",45:50.3,42.329976,-71.059102,0101000020E61000003448C153C8C351C0823B50A73C2A4540
19236205,1429,134672290,Shared room,,Boston,,Jamaica Plain,1,0,2,1,,70,,Cozy and quiet neighborhood,45:50.3,42.300939,-71.112678,0101000020E6100000A33EC91D36C751C0A48B4D2B85264540
2862120,1429,1416883,Shared room,,Boston,,Beacon Hill,62,4.5,1,1,,70,,Beacon Hill Downtown Sofabed in LR,45:50.3,42.360204,-71.0684,0101000020E6100000F8C264AA60C451C0B7F1272A1B2E4540
3641545,1429,6608084,Shared room,,Boston,,Dorchester,6,5,8,1,,68,,Special Circumstances Extra Room(s),45:50.3,42.308042,-71.047882,0101000020E61000004B04AA7F10C351C0B0E595EB6D274540
16125278,1429,48522319,Shared room,,Boston,,Jamaica Plain,26,4.5,2,1,,69,,Semi-Private Suite / 2 Min Walk to Subway!,45:50.3,42.322029,-71.10405,0101000020E610000086C954C1A8C651C08AAE0B3F38294540
15756423,1429,64446129,Shared room,,Boston,,Chinatown,3,5,2,1,,70,,Perfect Space Near Chinatown and Boston Common,45:50.3,42.352314,-71.060313,0101000020E610000083A10E2BDCC351C023F609A0182D4540
12446656,1429,12790789,Shared room,,Boston,,Fenway,13,4.5,2,1,,70,,Comfy sofa bed right in the Fenway,45:50.3,42.344627,-71.094908,0101000020E61000003E0801F912C651C0C828CFBC1C2C4540
15064899,1429,95259405,Shared room,,Boston,,South End,66,4.5,2,1,,65,,Comfortable & Clean Bed at Great Location,45:50.3,42.342583,-71.075406,0101000020E610000005FBAF73D3C451C031957EC2D92B4540
12540640,1429,6610984,Shared room,,Boston,,Allston,17,5,2,1,,52,,Pull out sofa next to T stop and 10 mins to BU,45:48.8,42.351896,-71.12958,0101000020E6100000CE8DE9094BC851C0EFCB99ED0A2D4540
16367387,1429,14395956,Shared room,,Boston,,West Roxbury,0,0,2,1,,55,,Comfy futonbed in a cozy apartment,45:48.8,42.301978,-71.166541,0101000020E61000005C1C959BA8CA51C0450E1137A7264540
7245413,1429,37881504,Shared room,,Boston,,Allston,1,0,2,1,,50,,best place to live,45:48.8,42.352935,-71.127714,0101000020E6100000724F57772CC851C0904E5DF92C2D4540
11043756,1429,35423230,Shared room,,Boston,,Allston,2,0,1,1,,58,,Cozy room Allston central close to everything,45:46.2,42.355342,-71.138265,0101000020E61000009D4B7155D9C851C09772BED87B2D4540
18878705,1429,121126192,Shared room,,Boston,,Fenway,0,0,1,1,,42,,Ê≥¢Â£´È°øÂÇ‰∏ßÂ,45:46.2,42.344223,-71.087061,0101000020E610000074F04C6892C551C0F8C3CF7F0F2C4540
5447285,1429,28254412,Shared room,,Boston,,Brighton,2,0,2,1,,44,,"Cozy room near BU, BC",45:46.2,42.34028,-71.143274,0101000020E61000007F17B6662BC951C0CFBD874B8E2B4540
14533117,1429,89873768,Shared room,,Boston,,Fenway,5,4.5,1,1,,51,,Shared room,45:46.2,42.346156,-71.092515,0101000020E6100000EDD808C4EBC551C037A8FDD64E2C4540
4598026,1429,5383468,Shared room,,Boston,,Allston,26,5,1,1,,47,,"Very Central, Safe and Quiet",45:46.2,42.350468,-71.13581,0101000020E6100000111E6D1CB1C851C0B325AB22DC2C4540
